ID,wRealID,nPoint,nIndex,RegAddr,SlaverAddr,DataType,DataOffset
0,1,0,0,5133,1,2,0
1,1,1,1,5134,1,2,0
2,1,2,2,5135,1,2,0
3,1,3,3,5136,1,2,0
4,1,4,4,5137,1,2,0
5,1,5,5,5138,1,2,0
6,1,6,6,5139,1,2,0
7,1,7,7,5140,1,2,0
8,1,8,8,5141,1,2,0
9,1,9,9,5142,1,2,0
10,1,10,10,5143,1,2,0
11,1,11,11,5144,1,2,0
12,1,12,12,5145,1,2,0
13,1,13,13,5146,1,2,0
14,1,14,14,5147,1,2,0
15,1,15,15,5148,1,2,0
16,1,16,16,5149,1,2,0
17,1,17,17,5150,1,2,0
18,1,18,18,5151,1,2,0
19,1,19,19,5152,1,2,0
20,1,20,20,5153,1,2,0
21,1,21,21,5154,2,2,0
22,1,22,22,5155,2,2,0
23,1,23,23,5156,2,2,0
24,1,24,24,5157,2,2,0
25,1,25,25,5158,2,2,0
26,1,26,26,5159,2,2,0
27,1,27,27,5160,2,2,0
28,1,28,28,5161,2,2,0
29,1,29,29,5162,2,2,0
30,1,30,30,5163,2,2,0
31,1,31,31,5164,2,2,0
32,1,32,32,5165,2,2,0
33,1,33,33,5166,2,2,0
34,1,34,34,5167,2,2,0
35,1,35,35,5168,2,2,0
36,1,36,36,5169,2,2,0
37,1,37,37,5170,2,2,0
38,1,38,38,5171,2,2,0
39,1,39,39,5172,2,2,0
40,1,40,40,5173,2,2,0
41,1,41,41,5174,2,2,0
42,1,42,42,5175,2,2,0
43,1,43,43,5176,2,2,0
44,1,44,44,5177,3,2,0
45,1,45,45,5178,3,2,0
46,1,46,46,5179,3,2,0
47,1,47,47,5180,3,2,0
48,1,48,48,5181,3,2,0
49,1,49,49,5182,3,2,0
50,1,50,50,5183,3,2,0
51,1,51,51,5184,3,2,0
52,1,52,52,5185,3,2,0
53,1,53,53,5186,3,2,0
54,1,54,54,5187,3,2,0
55,1,55,55,5188,3,2,0
56,1,56,56,5189,3,2,0
57,1,57,57,5190,3,2,0
58,1,58,58,5191,3,2,0
59,1,59,59,5192,3,2,0
60,1,60,60,5193,3,2,0
61,1,61,61,5194,3,2,0
62,1,62,62,5195,3,2,0
63,1,63,63,5196,3,2,0
64,1,64,64,5197,3,2,0
65,1,65,65,5198,4,2,0
66,1,66,66,5199,4,2,0
67,1,67,67,5200,4,2,0
68,1,68,68,5201,4,2,0
69,1,69,69,5202,4,2,0
70,1,70,70,5203,4,2,0
71,1,71,71,5204,4,2,0
72,1,72,72,5205,4,2,0
73,1,73,73,5206,4,2,0
74,1,74,74,5207,4,2,0
75,1,75,75,5208,4,2,0
76,1,76,76,5209,4,2,0
77,1,77,77,5210,4,2,0
78,1,78,78,5211,4,2,0
79,1,79,79,5212,4,2,0
80,1,80,80,5213,4,2,0
81,1,81,81,5214,4,2,0
82,1,82,82,5215,4,2,0
83,1,83,83,5216,4,2,0
84,1,84,84,5217,4,2,0
85,1,85,85,5218,4,2,0
86,1,86,86,5219,4,2,0
87,1,87,87,5220,4,2,0
88,1,88,88,5221,4,2,0
89,2,0,89,40004,1,2,0
90,2,1,90,40010,1,2,0
91,2,2,91,40011,1,2,0
92,2,3,92,40118,1,2,0
93,2,4,93,40121,1,2,0
94,2,5,94,40122,1,2,0
95,2,6,95,40123,1,2,0
96,2,7,96,40124,1,2,0
97,2,8,97,40126,1,2,0
98,2,9,98,40127,1,2,0
99,2,10,99,40128,1,2,0
100,2,11,100,40129,1,2,0
101,2,12,101,40138,1,2,0
102,2,13,102,40174,1,2,0
103,2,14,103,40181,4,2,0
104,2,15,104,40234,4,2,0
105,2,16,105,40235,4,2,0
106,2,17,106,40256,4,2,0
107,2,18,107,40273,4,2,0
108,6,0,108,4,1,4,0
109,6,0,109,5,1,4,16
110,6,1,110,6,1,4,0
111,6,1,111,7,1,4,16
112,6,2,112,8,1,4,0
113,6,2,113,9,1,4,16
114,6,3,114,10,1,4,0
115,6,3,115,11,1,4,16
116,6,4,116,12,1,4,0
117,6,4,117,13,1,4,16
118,6,5,118,14,1,4,0
119,6,5,119,15,1,4,16
120,6,6,120,16,1,4,0
121,6,6,121,17,1,4,16
122,6,7,122,18,1,4,0
123,6,7,123,19,1,4,16
124,6,8,124,20,1,4,0
125,6,8,125,21,1,4,16
126,6,9,126,22,1,4,0
127,6,9,127,23,1,4,16
128,6,10,128,24,1,4,0
129,6,10,129,25,1,4,16
130,6,11,130,26,1,4,0
131,6,11,131,55,1,4,16
132,6,12,132,56,1,4,0
133,6,12,133,57,1,4,16
